Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Alternative Channels,Kenyatta University,41,41
Alternative Channels,University of Venda for Science and Technology,33,33
Alternative Channels,University of Nairobi,29,34
Alternative Channels,Insight Centre for Data Analytics,38,42
Alternative Channels,HP European Innovation Center,41,33
Alternative Channels,Softeco Sismat SpA,32,32
Alternative Channels,Innovation Lab. Comverse,36,37
Alternative Channels,Shanghai Software Center,41,41
Alternative Channels,Palmetto Health Richland,50,45
Alternative Channels,"Arab Academy for Banking and Financial Sciences, Jordan",29,32
Alternative Channels,Adler Planetarium,43,43
Alternative Channels,Baxter Healthcare Corporation,45,45
Alternative Channels,Royal Tropical Institute - KIT,36,38
Alternative Channels,Faculty of Economics and Business Administration,35,35
Alternative Channels,Jimei University,33,33
Alternative Channels,University of Sydney Faculty of Health Sciences,33,39
Alternative Channels,ACT Health,40,40
Alternative Channels,Canberra Hospital,43,43
Alternative Channels,Faculty of Engineering,38,33
Alternative Channels,NERA Economic Consulting,36,36
Alternative Channels,Amsterdam Business School,49,49
Alternative Channels,Shanghai Institute of Planned Parenthood Research,35,32
Alternative Channels,University of International Business and Economy,35,35
Alternative Channels,ESAN,25,25
Alternative Channels,Cape Breton University,38,38
Alternative Channels,Shanghai BizEngine Consulting Co,35,35
Alternative Channels,Southwestern University of Finance,41,33
Alternative Channels,Ningbo City College,26,31
Alternative Channels,Ivey School,45,45
Alternative Channels,Center for Research on Information Technology and Organizations (CRITO),31,31
Alternative Channels,Mittuniversitetet,32,32
Alternative Channels,MYcroarray,20,20
Alternative Channels,Wilson Learning Corporation,38,43
Alternative Channels,Jaypee Business School,38,33
Alternative Channels,Nanjing Institute of Technology,39,39
Alternative Channels,Prince of Wales Hospital Hong Kong,33,33
Alternative Channels,JFR of CNUandICT,28,22
Alternative Channels,Harvard School of Public Health,31,35
Alternative Channels,Naval Academy,42,42
Alternative Channels,Hanyang Cyber University,36,41
Alternative Channels,IBM Deutschland,34,34
Alternative Channels,Universitat Trier,32,43
Alternative Channels,Meiho University,33,33
Alternative Channels,Redflex Traffic System,33,33
Alternative Channels,Cullen Group,25,25
Alternative Channels,Information Management at Erasmus University,34,44
Alternative Channels,Sunway University,32,32
Alternative Channels,University of Centra,35,35
Alternative Channels,Shri Shankaracarya Institute of Technology and Management,34,31
Alternative Channels,Seeing Stone Ltd,33,39
Alternative Channels,Deutsches Forschungszentrum für K̈nstliche Intelligenz (DFKI),27,28
Alternative Channels,SAP Research,31,31
Alternative Channels,Lubar School of Business,36,27
Alternative Channels,Liechtenstein University Fürst-Franz-Josef-Strasse,37,35
Alternative Channels,Yerevan Physics Institute,31,36
Alternative Channels,University ‘Guglielmo Marconi’ of Rome,31,36
Alternative Channels,London School of Economiscs,30,30
Alternative Channels,BlueBridge Technologies,51,51
Alternative Channels,Ernst and Young,46,40
Alternative Channels,Business and Technology,37,42
Alternative Channels,Initi8,23,23
Alternative Channels,Guangzhou Red Cross Hospital,33,25
Alternative Channels,PSNA College of Engineering and Technology,39,39
Alternative Channels,CFI Group,14,14
Alternative Channels,"DENSO International America, Inc.",42,39
Alternative Channels,Centro de Investigación y Docencia Económicas (CIDE),31,35
Alternative Channels,Logistical Engineering University China,41,37
Alternative Channels,Beijing Canbao Institute of Architectural Design,35,35
Alternative Channels,Citibank N.A.,30,38
Alternative Channels,Amiens School of Management,38,38
Alternative Channels,Universite de Bretagne Occidentale,33,33
Alternative Channels,Fraud Risk Management Analytics,39,39
Alternative Channels,University Heights,42,32
Alternative Channels,4230 DJ Meerkerk,17,17
Alternative Channels,DaeWoo Electronics Corp.,36,37
Alternative Channels,China Construction Bank,37,37
Alternative Channels,Anhui Provincial Hospital,36,36
Alternative Channels,"Mayooth University, Co. Kildare",39,33
Alternative Channels,State Oceanic Administration China,41,44
Alternative Channels,The Congenital Heart Institute of Florida (CHIF),32,33
Alternative Channels,"Università degli Studi di Padova, Facoltà di Medicina e Chirurgia",26,29
Alternative Channels,"Centre universitaire de santé McGill, Hôpital de Montreal Pour Enfants",31,30
Alternative Channels,Children's HeartLink,35,40
Alternative Channels,University of Bambergxs,37,37
Alternative Channels,Southern Taiwan University of Science and Technology,39,39
Alternative Channels,Shenyang Aerospace University,37,49
Alternative Channels,Pra Ming Project,28,22
Alternative Channels,South Australian Research and Development Institute,37,31
Alternative Channels,Bureau of Traffic Services,39,30
Alternative Channels,Kunming Institute of Botany Chinese Academy of Sciences,29,32
Alternative Channels,University of Southern,33,38
Alternative Channels,Minnesota State University Mankato,37,41
Alternative Channels,Mercer University,38,38
Alternative Channels,MPR Teltech Ltd,40,40
Alternative Channels,Pro Dynamics Consultants Pte Ltd,38,27
Alternative Channels,Guangdong University of Science & Technology,34,35
Alternative Channels,Shiv Nadar University,34,39
Alternative Channels,NORWEGIAN AIR SHUTTLE ASA,36,31
Alternative Channels,Service and Operations,43,43
Alternative Channels,Sentrana Inc.,36,31
Alternative Channels,Software Engineering Institute,32,36
Alternative Channels,University of Derby,31,36
Alternative Channels,Rich Products Corporation,27,31
Alternative Channels,Penn State's Great Valley School of Graduate Professional Studies,35,31
Alternative Channels,Information and Decision Sciences,38,42
Alternative Channels,Center for Research in Electronic Commerce,32,32
Alternative Channels,Vermont Blueprint for Health,38,38
Alternative Channels,Onpoint Health Data,31,41
Alternative Channels,"Graz University of Technology, Institute of Software Technology",29,32
Alternative Channels,Lapin Yliopisto,34,34
Alternative Channels,INSEAD,23,23
Alternative Channels,Deutsche Leasing AG,36,41
Alternative Channels,Center for Creative Leadership,48,48
Alternative Channels,SEGi University,34,34
Alternative Channels,"ULVAC, Inc.",26,21
Alternative Channels,Debian Developer,33,33
Alternative Channels,Beiersdorf AG,30,30
Alternative Channels,Hubei University of Technology,40,36
Alternative Channels,Ulsan National Institute of Science and Technology,37,40
Alternative Channels,Accenture,34,34
Alternative Channels,OTE S.A.,29,37
Alternative Channels,Royal Holloway Management School,35,31
Alternative Channels,HAY Group Inc.,24,30
Alternative Channels,Faculty of Business,36,26
Alternative Channels,Polish-American Freedom Foundation,30,41
Alternative Channels,Universidade Eduardo Mondlane,37,37
Alternative Channels,Henley Business School,38,33
Alternative Channels,Cranfield School of Management Forum,36,36
Alternative Channels,Microsoft Deutschland GmbH,30,30
Alternative Channels,New York University Shanghai,42,38
Alternative Channels,Université de Picardie Jules Verne,37,38
Alternative Channels,"OPHIT Co., Ltd.",23,25
Alternative Channels,University of Washington School of Public Health and Community Medicine,24,29
Alternative Channels,"Health-e, LLC",36,31
Alternative Channels,Evans and Peck,35,35
Alternative Channels,Luoyang Tractor Institute Co. Ltd.,37,27
Alternative Channels,University of Texas at RGV,30,39
Alternative Channels,Sichuan College of Traditional Chinese Medicine,39,33
Alternative Channels,Horvàth and Partners Management Consultants,38,39
Alternative Channels,Kean University,34,34
Alternative Channels,Epworth HealthCare,37,37
Alternative Channels,Shinhan University,37,37
Alternative Channels,Centro de Investigación Y Docencias Económicas,33,34
Alternative Channels,Institute of Electronics Chinese Academy of Sciences,33,36
Alternative Channels,Evolution Consulting,35,30
Alternative Channels,Works For Federal Express,27,31
Alternative Channels,School of Information Technology,38,35
Alternative Channels,University of Pretoria,29,33
